,Unnamed: 0,incident_name,incident_date_created,incident_county,incident_acres_burned,None,D0,D1,D2,D3,D4,MapDate,County
107,107,Diablo Fire,2021-07-11T09:22:05Z,Contra Costa,128.0,0.0,0.0,0.0,0.0,0.0,100.0,20210713.0,Contra Costa County
108,108,Bear Fire,2021-07-11T13:29:14Z,Kern,71.0,0.0,0.0,0.0,0.0,10.46,89.54,20210713.0,Kern County
109,109,River Fire,2021-07-11T14:10:26Z,Mariposa,9656.0,0.0,0.0,0.0,0.0,69.0,31.0,20210713.0,Mariposa County
110,110,Bradley Fire,2021-07-11T15:08:43Z,Siskiyou,357.0,0.0,0.0,1.85,4.75,93.41,0.0,20210713.0,Siskiyou County
111,111,Dexter Fire,2021-07-12T14:04:02Z,Mono,2965.0,0.0,0.0,0.0,0.0,55.76,44.24,20210713.0,Mono County
112,112,Dixie Fire,2021-07-13T17:15:00Z,Butte,,0.0,0.0,0.0,0.0,16.81,83.19,20210713.0,Butte County
113,113,Dixie Fire,2021-07-13T17:15:00Z,Plumas,,0.0,0.0,0.0,0.0,99.8,0.2,20210713.0,Plumas County
114,114,Dixie Fire,2021-07-13T17:15:00Z,Shasta,,0.0,0.0,0.0,0.2,25.51,74.29,20210713.0,Shasta County
115,115,Dixie Fire,2021-07-13T17:15:00Z,Lassen,,0.0,0.0,0.0,0.0,100.0,0.0,20210713.0,Lassen County
116,116,Dixie Fire,2021-07-13T17:15:00Z,Tehama,,0.0,0.0,0.0,1.97,16.09,81.94,20210713.0,Tehama County
117,117,Cannon Fire,2021-07-14T15:18:48Z,Tehama,43.0,0.0,0.0,0.0,1.97,16.09,81.94,20210713.0,Tehama County
118,118,Dolicini Fire,2021-07-14T15:34:10Z,Marin,35.0,0.0,0.0,0.0,0.0,0.0,100.0,20210713.0,Marin County
119,119,Henry Fire,2021-06-25T19:53:41Z,Alpine,1320.0,0.0,0.0,0.0,0.0,100.0,0.0,20210629.0,Alpine County
120,120,Border 13 Fire,2021-07-15T16:02:27Z,San Diego,30.0,0.0,0.0,89.19,10.81,0.0,0.0,20210713.0,San Diego County
121,121,Tamarack Fire,2021-07-04T11:57:58Z,Alpine,,0.0,0.0,0.0,0.0,100.0,0.0,20210706.0,Alpine County
122,122,Fork Fire,2021-07-17T17:40:13Z,Tehama,43.0,0.0,0.0,0.0,1.37,16.69,81.94,20210720.0,Tehama County
123,123,Chicken Fire,2021-07-18T13:34:00Z,Lassen,55.0,0.0,0.0,0.0,0.0,100.0,0.0,20210720.0,Lassen County
124,124,Quail Fire,2021-07-20T13:52:41Z,Riverside,50.0,0.0,0.0,0.0,59.67,37.83,2.5,20210720.0,Riverside County
125,125,Peak Fire,2021-07-20T11:40:00Z,Kern,2098.0,0.0,0.0,0.0,0.0,10.46,89.54,20210720.0,Kern County
126,126,Frenchtown Fire,2021-07-20T16:36:32Z,Yuba,45.0,0.0,0.0,0.0,0.0,31.66,68.34,20210720.0,Yuba County
127,127,Mountain Fire,2021-07-23T00:00:00Z,Trinity,25.0,0.0,0.0,0.0,50.62,49.38,0.0,20210720.0,Trinity County
128,128,Park Fire,2021-07-26T00:00:00Z,Tulare,100.0,0.0,0.0,0.0,0.0,0.0,100.0,20210727.0,Tulare County
