,Unnamed: 0,incident_name,incident_date_created,incident_county,incident_acres_burned,None,D0,D1,D2,D3,D4,MapDate,County
51,51,Farm Fire,2021-06-09T13:15:00Z,San Bernardino,250.0,0.0,0.0,0.0,9.34,69.25,21.41,20210608.0,San Bernardino County
52,52,Sierra Fire,2021-06-09T13:53:00Z,San Diego,1000.0,0.0,0.0,88.49,11.51,0.0,0.0,20210608.0,San Diego County
53,53,Creek Fire,2021-06-09T20:00:00Z,Yolo,34.0,0.0,0.0,0.0,0.0,0.0,100.0,20210608.0,Yolo County
54,54,Flats Fire,2021-06-13T11:12:13Z,Riverside,341.0,0.0,0.0,0.0,59.19,38.31,2.5,20210615.0,Riverside County
55,55,Goose Fire,2021-06-13T16:01:34Z,Amador,67.0,0.0,0.0,0.0,0.0,80.58,19.42,20210615.0,Amador County
56,56,Beale Fire,2021-06-13T19:39:00Z,Yuba,150.0,0.0,0.0,0.0,0.0,31.66,68.34,20210615.0,Yuba County
57,57,Silicon Fire,2021-06-14T11:40:00Z,Santa Clara,35.0,0.0,0.0,0.0,0.0,100.0,0.0,20210615.0,Santa Clara County
58,58,Kathryn Fire,2021-06-15T13:30:00Z,Riverside,15.0,0.0,0.0,0.0,59.19,38.31,2.5,20210615.0,Riverside County
59,59,Rock Fire,2021-06-15T17:14:55Z,Shasta,108.0,0.0,0.0,0.0,0.19,25.52,74.29,20210615.0,Shasta County
60,60,Dairy Fire,2021-06-15T18:59:10Z,Tehama,165.0,0.0,0.0,0.0,2.0,16.06,81.94,20210615.0,Tehama County
61,61,Equestrian Fire,2021-06-16T14:03:42Z,El Dorado,10.0,0.0,0.0,0.0,0.0,92.44,7.56,20210615.0,El Dorado County
62,62,Pomo Fire,2021-06-17T16:45:06Z,Lake,42.0,0.0,0.0,0.0,0.0,25.97,74.03,20210615.0,Lake County
63,63,Park Fire,2021-06-17T21:37:07Z,Butte,402.0,0.0,0.0,0.0,0.0,16.81,83.19,20210615.0,Butte County
